id,org_id,email,job_title,is_autogenai_employee,is_licensed_user,created_at
user_0001,org_001,user_0001@contoso.com,Analyst,False,True,2025-10-11 00:00:00+0000
user_0002,org_001,user_0002@beta.io,Manager,False,True,2025-11-16 00:00:00+0000
user_0003,org_001,user_0003@acme.co.uk,Analyst,False,True,2025-10-20 00:00:00+0000
user_0004,org_001,user_0004@beta.io,Analyst,False,True,2025-10-25 00:00:00+0000
user_0005,org_001,user_0005@beta.io,Analyst,False,False,2025-10-16 00:00:00+0000
user_0006,org_001,user_0006@example.com,Proposal Writer,False,False,2025-10-22 00:00:00+0000
user_0007,org_001,user_0007@acme.co.uk,Bid Manager,False,True,2025-10-31 00:00:00+0000
user_0008,org_001,user_0008@contoso.com,Account Executive,False,True,2025-10-15 00:00:00+0000
user_0009,org_001,user_0009@example.com,Analyst,False,True,2025-10-26 00:00:00+0000
user_0010,org_001,user_0010@beta.io,Account Executive,False,True,2025-11-08 00:00:00+0000
user_0011,org_001,user_0011@acme.co.uk,Manager,False,False,2025-10-18 00:00:00+0000
user_0012,org_001,user_0012@globex.net,Bid Manager,False,True,2025-10-07 00:00:00+0000
user_0013,org_001,user_0013@beta.io,Proposal Writer,False,True,2025-11-15 00:00:00+0000
user_0014,org_001,user_0014@beta.io,Director,False,True,2025-09-30 00:00:00+0000
user_0015,org_001,user_0015@globex.net,Solutions Consultant,False,True,2025-11-19 00:00:00+0000
user_0016,org_001,user_0016@example.com,Director,False,False,2025-09-22 00:00:00+0000
user_0017,org_001,user_0017@beta.io,Analyst,False,True,2025-11-11 00:00:00+0000
user_0018,org_001,user_0018@example.com,Bid Manager,False,True,2025-11-20 00:00:00+0000
user_0019,org_001,user_0019@globex.net,Solutions Consultant,False,True,2025-11-08 00:00:00+0000
user_0020,org_001,user_0020@globex.net,Analyst,False,True,2025-11-20 00:00:00+0000
user_0021,org_002,user_0021@globex.net,Manager,False,True,2025-09-22 00:00:00+0000
user_0022,org_002,user_0022@contoso.com,Solutions Consultant,False,True,2025-09-28 00:00:00+0000
user_0023,org_002,user_0023@globex.net,Bid Manager,False,True,2025-11-05 00:00:00+0000
user_0024,org_002,user_0024@example.com,Proposal Writer,False,True,2025-09-30 00:00:00+0000
user_0025,org_002,user_0025@example.com,Bid Manager,False,True,2025-09-09 00:00:00+0000
user_0026,org_002,user_0026@example.com,Proposal Writer,False,True,2025-11-05 00:00:00+0000
user_0027,org_002,user_0027@contoso.com,Analyst,False,True,2025-09-26 00:00:00+0000
user_0028,org_002,user_0028@contoso.com,Solutions Consultant,False,True,2025-10-15 00:00:00+0000
user_0029,org_002,user_0029@example.com,Solutions Consultant,False,True,2025-09-21 00:00:00+0000
user_0030,org_002,user_0030@contoso.com,Manager,False,True,2025-10-05 00:00:00+0000
user_0031,org_002,user_0031@example.com,Director,False,True,2025-10-20 00:00:00+0000
